day,phase1A,phase1B,s-break,phase2A,phase2B,l-break,phase3A,phase3B,phase3C
Monday,,,,,,,,,
Tuesday,,,,,,,,,
Wednesday,,,,,,,,,
Thursday,,,,,,,,,
Friday,,,,,,,,,
